duration,mold,rating_num,title
149,"剧情,悬疑,惊悚,犯罪",8.7,消失的爱人
141,剧情,9.1,无人知晓
138,"剧情,犯罪",9.1,完美的世界
102,"喜剧,动作,科幻,动画,冒险",8.7,超能陆战队
134,"剧情,爱情",8.9,阳光灿烂的日子
121,"剧情,喜剧",8.9,菊次郎的夏天
111,剧情,9.0,小森林 夏秋篇
165,"剧情,动作,科幻,惊悚,犯罪",8.8,蝙蝠侠：黑暗骑士崛起
134,"动画,奇幻,冒险",8.9,幽灵公主
102,"剧情,爱情",8.8,重庆森林
101,"剧情,爱情",8.8,爱在黎明破晓前
122,"剧情,喜剧,爱情",8.7,天使爱美丽
107,"剧情,悬疑,惊悚",8.9,第六感
161,"奇幻,冒险",8.8,哈利·波特与密室
173,"剧情,爱情,家庭",9.1,一一
130,剧情,8.9,入殓师
102,"喜剧,爱情,古装",8.7,唐伯虎点秋香
178,"剧情,动作,传记,历史,战争",8.9,勇敢的心
134,"剧情,爱情,同性,家庭",8.8,断背山
105,"剧情,爱情,奇幻",8.7,剪刀手爱德华
132,"剧情,爱情,同性",8.9,请以你的名字呼唤我
115,剧情,9.1,狩猎
130,"剧情,歌舞",8.9,被嫌弃的松子的一生
90,"科幻,动画,悬疑,惊悚",9.1,红辣椒
143,"动作,奇幻,冒险",8.8,加勒比海盗
141,"奇幻,冒险",8.9,哈利·波特与阿兹卡班的囚徒
98,剧情,9.0,超脱
132,"剧情,动作,悬疑,惊悚,犯罪",8.9,杀人回忆
100,"喜剧,动作,犯罪,奇幻",8.8,功夫
90,"剧情,悬疑,惊悚",8.8,致命ID
89,"剧情,喜剧,爱情",8.8,喜剧之王
127,"剧情,悬疑,惊悚,犯罪",8.8,七宗罪
87,"剧情,喜剧,爱情",9.3,摩登时代
96,"剧情,爱情,同性",9.0,春光乍泄
154,"剧情,喜剧,犯罪",8.9,低俗小说
126,剧情,8.9,心灵捕手
229,"剧情,犯罪",9.2,美国往事
113,"剧情,科幻,悬疑,惊悚",8.9,蝴蝶效应
99,"剧情,喜剧,冒险",8.9,布达佩斯大饭店
138,"剧情,悬疑,惊悚",8.9,禁闭岛
130,"剧情,悬疑,惊悚",8.9,致命魔术
92,纪录片,9.3,海豚湾
118,"剧情,惊悚,犯罪",8.9,沉默的羔羊
130,"奇幻,冒险",8.9,哈利·波特与死亡圣器(下)
89,"剧情,家庭,儿童",9.2,小鞋子
133,剧情,9.1,飞越疯人院
169,"剧情,战争",9.1,拯救大兵瑞恩
174,"剧情,爱情,歌舞,传记",9.1,音乐之声
106,"剧情,悬疑,惊悚,犯罪",8.8,看不见的客人
109,"剧情,情色,战争",8.9,西西里的美丽传说
107,"剧情,喜剧,犯罪",9.1,两杆大烟枪
117,"剧情,爱情",8.9,情书
94,"剧情,战争",9.2,穿条纹睡衣的男孩
166,"剧情,爱情,奇幻",9.0,本杰明·巴顿奇事
137,"剧情,悬疑",9.2,窃听风暴
135,"剧情,传记",9.1,美丽心灵
124,"剧情,家庭",9.2,饮食男女
139,"剧情,动作,悬疑,惊悚",9.0,搏击俱乐部
89,"动画,歌舞,冒险",9.1,狮子王
127,剧情,9.2,辩护人
130,"剧情,喜剧,音乐,传记",8.9,绿皮书
202,"剧情,犯罪",9.3,教父2
128,剧情,9.1,死亡诗社
113,"剧情,动画,奇幻,古装",9.4,大闹天宫
136,"动作,科幻",9.1,黑客帝国
179,"剧情,动作,奇幻,冒险",9.1,指环王1：护戒使者
118,"剧情,喜剧,爱情",9.1,罗马假日
111,"剧情,家庭,冒险",9.3,海蒂和爷爷
180,"剧情,动作,奇幻,冒险",9.2,指环王2：双塔奇兵
157,剧情,9.1,闻香识女人
132,"剧情,喜剧,动作,西部",8.9,让子弹飞
150,"剧情,音乐,传记,战争",9.3,钢琴家
125,"动画,奇幻,冒险",9.1,天空之城
87,"喜剧,爱情,奇幻,古装",9.0,大话西游之月光宝盒
141,"剧情,传记,犯罪",9.1,猫鼠游戏
139,"剧情,喜剧",9.3,鬼子来了
119,"动画,奇幻,冒险",9.1,哈尔的移动城堡
127,"剧情,奇幻,冒险",9.1,少年派的奇幻漂流
96,剧情,9.4,十二怒汉
126,剧情,9.1,何以为家
117,"剧情,喜剧",9.0,我不是药神
161,"剧情,家庭,传记,运动",9.0,摔跤吧！爸爸
96,"剧情,喜剧,动画,冒险",9.1,飞屋环游记
122,剧情,9.3,素媛
238,"剧情,爱情,历史,战争",9.3,乱世佳人
201,"剧情,动作,奇幻,冒险",9.3,指环王3：王者无敌
152,"奇幻,冒险",9.2,哈利·波特与魔法石
132,"剧情,家庭,历史",9.3,活着
152,"剧情,动作,科幻,惊悚,犯罪",9.2,蝙蝠侠：黑暗骑士
105,"喜剧,动画,音乐,奇幻",9.1,寻梦环游记
86,"动画,奇幻,冒险",9.2,龙猫
163,"剧情,传记,历史",9.3,末代皇帝
171,"剧情,爱情,同性",9.6,霸王别姬
